Country;Deaths;Population;Pop.density;Median_age;65_older;70_older;GDP;Cardiovasc ;Diabetes;Smokers;HDI;COPD;CKD;Health_exp;Obesity;Organ_transplant;Asthma;Cancer;Gini
Luxembourg;185,00;625976,00;231,45;39,70;14,31;9,84;94277,97;9110,47;9537,95;23,50;0,90;5368,11;57350,99;0,07;22,60;0,00;7159,23;19898,64;34,90
Malta;72,00;441539,00;1454,04;42,40;19,43;11,32;36513,32;10539,44;10908,92;25,50;0,88;4566,13;49582,03;0,10;28,90;17,00;7972,71;12753,05;29,20
Mexico;94808,00;128932753,00;66,44;29,30;6,86;4,32;17336,47;4706,57;9549,81;14,00;0,77;2081,76;16264323,66;0,06;28,90;3242,00;2683,97;1005223,27;45,40
Netherlands;7950,00;17134873,00;508,54;43,20;18,78;11,88;48472,55;10305,62;5871,52;25,80;0,93;7408,31;1821663,87;0,11;20,40;1311,00;7745,22;715272,58;28,50
New Zealand;25,00;4822233,00;18,21;37,90;15,32;9,72;36085,84;9721,24;4738,14;16,00;0,92;5690,14;463187,32;0,11;30,80;326,00;6010,91;186914,46;34,40
Norway;285,00;5421242,00;14,46;39,70;16,82;10,81;64800,06;10968,90;7595,37;20,20;0,95;6472,62;447570,90;0,10;23,10;443,00;6963,43;227807,55;27,00
Peru;34840,00;32971846,00;25,13;29,10;7,15;4,46;12236,71;4129,31;3373,61;4,80;0,75;1227,78;3237322,01;0,05;19,70;261,00;4189,54;196294,64;42,80
Poland;7636,00;37846605,00;124,03;41,80;16,76;10,20;27216,45;11027,02;9219,47;28,00;0,87;3721,35;4361113,48;0,06;23,10;1566,00;5762,26;883121,28;29,70
Portugal;2848,00;10196707,00;112,37;46,20;21,50;14,92;27936,90;10218,49;12046,27;22,70;0,85;5916,05;1177966,94;0,10;20,80;847,00;10367,73;303194,46;33,80
Romania;7793,00;19237682,00;85,13;43,00;17,85;11,69;23313,20;13272,99;6666,79;29,70;0,81;4014,50;2219096,97;0,06;22,50;295,00;4389,01;450330,84;36,00
Russia;30251,00;145934460,00;8,82;39,60;14,18;9,39;24765,95;11721,72;4124,23;39,30;0,82;2672,54;21702693,88;0,07;23,10;2429,00;2390,79;3193052,76;37,50
Saudi Arabia;5525,00;34813867,00;15,32;31,90;3,30;1,85;49045,41;4473,36;6958,35;15,60;0,85;1216,17;2915089,62;0,05;35,40;1530,00;2390,01;208450,34;45,90
Slovakia;351,00;5459643,00;113,13;41,20;15,07;9,17;30155,15;11115,47;7120,95;30,10;0,86;2879,95;620866,55;0,08;20,50;259,00;2938,77;158662,58;25,20
Slovenia;378,00;2078932,00;102,62;44,50;19,06;12,93;31400,84;13755,61;8121,96;22,50;0,90;3782,51;258487,82;0,09;20,20;95,00;4946,52;63997,61;24,20
Spain;38833,00;46754783,00;93,11;45,50;19,44;13,80;34272,36;9820,96;9732,30;29,30;0,89;6314,08;4494877,86;0,09;23,80;5449,00;4857,50;1452369,10;34,70
Sweden;6112,00;10099270,00;24,72;41,00;19,99;13,43;46949,28;12036,06;7179,75;18,80;0,93;6429,96;1078789,60;0,12;20,60;799,00;8064,78;374813,23;28,80
Switzerland;2404,00;8654618,00;214,24;43,10;18,44;12,64;57410,17;9373,02;7315,89;25,70;0,94;4868,03;948415,37;0,09;19,50;600,00;6937,97;273098,77;32,70
United Arab Emirates;514,00;9890400,00;112,44;34,00;1,14;0,53;67293,48;4930,18;7782,55;28,90;0,86;2067,45;706923,83;0,04;31,70;93,00;6651,26;49880,65;32,50
United Kingdom;48888,00;67886004,00;272,90;40,80;18,52;12,53;39753,24;9668,34;12072,41;22,30;0,92;7032,99;5643651,75;0,09;27,80;5178,00;9609,00;2622772,10;34,80
United States;237113,00;331002647,00;35,61;38,30;15,41;9,73;54225,45;12095,06;11036,93;21,80;0,92;6143,06;40241611,27;0,17;36,20;40621,00;10352,64;22862718,15;41,10
